value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,26,12,36,92,4.7,5.9,99.00,99.00,99.00,999,1017.0,24.4,26.9,999.0,99.0,99.00
2008,06,26,12,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.9,999.0,99.0,99.00
2008,06,26,13,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.9,999.0,99.0,99.00
2008,06,26,13,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.9,999.0,99.0,99.00
2008,06,26,13,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.8,999.0,99.0,99.00
2008,06,26,13,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.8,999.0,99.0,99.00
2008,06,26,13,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.8,999.0,99.0,99.00
2008,06,26,13,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.8,999.0,99.0,99.00
2008,06,26,13,36,97,5.5,6.3,99.00,99.00,99.00,999,1016.9,23.6,26.8,999.0,99.0,99.00
2008,06,26,13,42,96,5.2,6.3,99.00,99.00,99.00,999,9999.0,23.8,999.0,999.0,99.0,99.00
2008,06,26,13,48,86,5.4,6.3,99.00,99.00,99.00,999,9999.0,24.1,999.0,999.0,99.0,99.00
2008,06,26,13,54,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,00,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,06,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,12,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,18,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,24,999,99.0,99.0,99.00,99.00,99.00,999,1016.9,999.0,26.8,999.0,99.0,99.00
2008,06,26,14,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.7,999.0,99.0,99.00
2008,06,26,14,36,84,4.1,6.0,99.00,99.00,99.00,999,1017.0,24.5,26.7,999.0,99.0,99.00
2008,06,26,14,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.7,999.0,99.0,99.00
2008,06,26,14,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.7,999.0,99.0,99.00
2008,06,26,14,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.7,999.0,99.0,99.00
2008,06,26,15,36,89,4.6,5.5,99.00,99.00,99.00,999,1017.3,24.7,26.7,999.0,99.0,99.00
2008,06,26,15,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.6,999.0,99.0,99.00
2008,06,26,15,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.6,999.0,99.0,99.00
2008,06,26,15,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.6,999.0,99.0,99.00
2008,06,26,16,36,80,3.0,3.8,99.00,99.00,99.00,999,1017.6,24.7,26.5,999.0,99.0,99.00
2008,06,26,16,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,16,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,16,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,36,81,5.0,6.3,99.00,99.00,99.00,999,1017.8,25.8,26.5,999.0,99.0,99.00
2008,06,26,17,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.9,999.0,26.5,999.0,99.0,99.00
2008,06,26,17,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.9,999.0,26.5,999.0,99.0,99.00
